lind	locus
1245	L3879
1246	L3880
1247	L3882
1248	L3886
1249	L3892
1250	L3894
1251	L3896
1252	L3901
1253	L3905
1254	L3907
1255	L3910
1256	L3911
1257	L3919
1258	L3920
1259	L3921
1260	L3922
1261	L3923
1262	L3924
1263	L3929
1264	L3936
1265	L3937
1266	L3938
1267	L3941
1268	L3943
1269	L3944
1270	L3946
1271	L3947
1272	L3948
1273	L3949
1274	L3955
1275	L3957
1276	L3958
1277	L3961
1278	L3962
1279	L3963
1280	L3969
1281	L3970
1282	L3973
1283	L3976
1284	L3978
1285	L3981
1286	L3987
1287	L3990
1288	L3993
1289	L3994
1290	L3995
1291	L3996
1292	L4001
1293	L4002
1294	L4003
1295	L4007
1296	L4008
1297	L4012
1298	L4013
1299	L4015
1300	L4023
1301	L4024
1302	L4025
1303	L4027
1304	L4028
1305	L4034
1306	L4036
1307	L4037
1308	L4040
1309	L4042
1310	L4044
1311	L4046
1312	L4048
1313	L4049
1314	L4050
1315	L4051
1316	L4059
1317	L4064
1318	L4066
1319	L4067
1320	L4072
1321	L4073
1322	L4075
1323	L4082
1324	L4084
1325	L4087
1326	L4091
1327	L4093
1328	L4094
1329	L4095
1330	L4096
1331	L4099
1332	L4106
1333	L4108
1334	L4109
1335	L4112
1336	L4120
1337	L4127
1338	L4129
1339	L4130
1340	L4131
1341	L4136
1342	L4139
1343	L4145
1344	L4146
1345	L4148
1346	L4149
1347	L4150
1348	L4151
1349	L4152
1350	L4153
1351	L4156
1352	L4166
1353	L4169
1354	L4171
1355	L4176
1356	L4177
1357	L4184
1358	L4185
1359	L4188
1360	L4189
1361	L4191
1362	L4192
1363	L4196
1364	L4202
1365	L4203
1366	L4204
1367	L4205
1368	L4207
1369	L4209
1370	L4210
1371	L4213
1372	L4214
1373	L4216
1374	L4218
1375	L4219
1376	L4224
1377	L4225
1378	L4226
1379	L4234
1380	L4238
1381	L4239
1382	L4242
1383	L4243
1384	L4246
1385	L4248
1386	L4249
1387	L4251
1388	L4254
1389	L4256
1390	L4258
1391	L4259
1392	L4260
1393	L4267
1394	L4268
1395	L4274
1396	L4276
1397	L4279
1398	L4283
1399	L4284
1400	L4285
1401	L4289
1402	L4290
1403	L4293
1404	L4303
1405	L4304
1406	L4307
1407	L4308
1408	L4315
1409	L4319
1410	L4327
1411	L4329
1412	L4330
1413	L4339
1414	L4341
1415	L4344
1416	L4346
1417	L4347
1418	L4349
1419	L4355
1420	L4358
1421	L4359
