lind	locus
726	L8908
727	L8920
728	L8924
729	L8925
730	L8926
731	L8930
732	L8934
733	L8942
734	L8946
735	L8947
736	L8950
737	L8954
738	L8956
739	L8960
740	L8963
741	L8965
742	L8972
743	L8977
744	L8980
745	L8992
746	L8994
747	L9017
748	L9023
749	L9029
750	L9035
751	L9048
752	L9054
753	L9055
754	L9064
755	L9081
756	L9084
757	L9086
758	L9091
759	L9098
760	L9101
761	L9114
762	L9126
763	L9148
764	L9152
765	L9161
766	L9166
767	L9169
768	L9171
769	L9209
770	L9212
771	L9234
772	L9235
773	L9239
774	L9256
775	L9261
776	L9264
777	L9271
778	L9272
779	L9276
780	L9282
781	L9285
782	L9291
783	L9296
784	L9309
785	L9320
786	L9330
787	L9358
788	L9385
789	L9388
790	L9394
791	L9398
792	L9416
793	L9430
794	L9433
795	L9455
796	L9479
797	L9506
798	L9508
799	L9517
800	L9527
801	L9542
802	L9551
803	L9553
804	L9565
805	L9572
806	L9599
807	L9607
808	L9611
809	L9617
810	L9626
811	L9639
812	L9647
813	L9652
814	L9655
815	L9666
816	L9673
817	L9694
818	L9715
819	L9720
820	L9730
821	L9747
822	L9755
823	L9760
824	L9766
825	L9781
826	L9784
827	L9790
828	L9801
829	L9823
830	L9824
831	L9838
832	L9884
833	L9958
834	L9975
835	L9986
836	L9990
837	L9993
838	L9994
839	L9995
840	L10013
841	L10023
842	L10052
843	L10056
844	L10088
845	L10097
846	L10102
847	L10113
848	L10117
849	L10124
850	L10133
851	L10148
852	L10160
853	L10169
854	L10180
855	L10190
856	L10203
857	L10206
858	L10215
859	L10232
860	L10235
861	L10237
862	L10247
863	L10257
864	L10260
865	L10270
866	L10273
867	L10276
868	L10324
869	L10326
870	L10432
871	L10535
872	L10538
873	L10551
874	L10620
875	L10628
876	L10854
877	L10916
878	L10963
879	L11036
880	L11037
881	L11055
882	L11075
883	L11108
884	L11129
885	L11254
886	L11279
887	L11296
888	L11550
889	L11553
890	L11574
891	L11588
892	L11648
893	L11649
894	L11668
895	L11671
896	L11681
897	L11689
898	L11701
899	L11702
900	L11703
901	L11783
902	L11793
903	L11795
904	L11801
905	L11807
906	L11824
907	L11829
908	L11850
909	L11865
910	L11894
911	L11954
912	L11980
913	L12011
914	L12024
915	L12059
916	L12103
917	L12111
918	L12144
919	L12158
920	L12175
921	L12179
922	L12191
923	L12237
924	L12245
925	L12249
926	L12283
927	L12301
928	L12305
929	L12312
930	L12316
931	L12344
932	L12359
933	L12364
934	L12373
935	L12384
936	L12399
937	L12428
938	L12430
939	L12457
940	L12469
941	L12472
942	L12514
943	L12521
944	L12592
945	L12607
946	L12613
947	L12617
948	L12622
949	L12635
950	L12644
951	L12645
952	L12654
953	L12655
954	L12656
955	L12688
956	L12727
957	L12728
958	L12736
959	L12744
960	L12769
961	L12791
962	L12825
963	L12870
964	L12885
965	L12887
966	L12888
967	L12893
968	L12900
969	L12907
970	L12948
971	L12957
972	L12966
973	L12977
974	L12987
975	L13010
976	L13026
977	L13030
978	L13038
979	L13051
980	L13053
981	L13077
982	L13130
983	L13132
984	L13133
985	L13147
986	L13163
987	L13169
988	L13173
989	L13193
990	L13208
991	L13232
992	L13237
993	L13246
994	L13251
995	L13252
996	L13254
997	L13257
998	L13263
999	L13282
1000	L13290
1001	L13350
1002	L13365
1003	L13399
1004	L13414
1005	L13448
1006	L13472
1007	L13473
1008	L13501
1009	L13515
1010	L13540
1011	L13563
1012	L13597
1013	L13598
1014	L13614
1015	L13683
1016	L13717
1017	L13722
1018	L13738
1019	L13744
1020	L13746
1021	L13766
1022	L13792
1023	L13799
1024	L13804
1025	L13815
1026	L13816
1027	L13827
1028	L13833
1029	L13834
1030	L13847
1031	L13859
1032	L13874
1033	L13876
1034	L13884
1035	L13894
1036	L13896
1037	L13909
1038	L13927
1039	L13936
1040	L13941
1041	L13957
1042	L13963
1043	L13973
1044	L13978
1045	L13989
1046	L13998
1047	L14008
1048	L14018
1049	L14048
1050	L14062
1051	L14071
1052	L14113
1053	L14122
1054	L14126
1055	L14149
1056	L14185
1057	L14192
1058	L14218
1059	L14240
1060	L14281
1061	L14293
1062	L14339
1063	L14346
1064	L14359
1065	L14375
1066	L14380
1067	L14445
1068	L14467
1069	L14468
1070	L14470
1071	L14507
1072	L14508
1073	L14557
1074	L14592
1075	L14594
1076	L14606
1077	L14639
1078	L14642
1079	L14663
1080	L14676
1081	L14696
1082	L14751
1083	L14753
1084	L14789
1085	L14807
1086	L14824
1087	L14827
1088	L14831
1089	L14857
1090	L14861
1091	L14873
1092	L14919
1093	L14935
1094	L14972
1095	L14976
1096	L14998
1097	L15000
1098	L15005
1099	L15006
1100	L15010
1101	L15014
1102	L15027
1103	L15050
1104	L15101
1105	L15129
1106	L15134
1107	L15140
1108	L15145
1109	L15148
1110	L15149
1111	L15158
1112	L15161
1113	L15210
1114	L15219
1115	L15245
1116	L15253
1117	L15258
1118	L15285
1119	L15286
1120	L15302
1121	L15315
1122	L15327
1123	L15341
1124	L15348
1125	L15376
1126	L15430
1127	L15435
1128	L15463
1129	L15468
1130	L15527
1131	L15528
1132	L15575
1133	L15577
1134	L15578
1135	L15610
1136	L15630
1137	L15631
1138	L15644
1139	L15665
1140	L15681
1141	L15707
1142	L15728
1143	L15741
1144	L15743
1145	L15751
1146	L15811
1147	L15823
1148	L15835
1149	L15861
1150	L15863
1151	L15877
1152	L15886
1153	L15893
1154	L15902
1155	L15922
1156	L15946
1157	L15950
1158	L15953
1159	L15954
1160	L15975
1161	L15981
1162	L16009
1163	L16013
1164	L16019
1165	L16029
1166	L16030
1167	L16036
1168	L16042
1169	L16061
1170	L16083
1171	L16089
1172	L16096
1173	L16125
1174	L16130
1175	L16153
1176	L16160
1177	L16182
1178	L16190
1179	L16198
1180	L16216
1181	L16246
1182	L16554
1183	L16555
1184	L16603
1185	L16606
1186	L16641
1187	L16667
1188	L16697
1189	L16702
1190	L16713
1191	L16858
1192	L16959
1193	L16979
1194	L16985
1195	L16990
1196	L17050
1197	L17066
1198	L17100
1199	L17118
1200	L17187
1201	L17301
1202	L17314
1203	L17358
1204	L17361
1205	L17362
1206	L17370
1207	L17381
1208	L17390
1209	L17400
1210	L17401
1211	L17409
1212	L17416
1213	L17449
1214	L17458
1215	L17470
1216	L17521
1217	L17531
1218	L17532
1219	L17545
1220	L17572
1221	L17575
1222	L17577
1223	L17598
1224	L17609
1225	L17627
1226	L17638
1227	L17676
1228	L17708
1229	L17720
1230	L17744
1231	L17749
1232	L17767
1233	L17773
1234	L17774
1235	L17789
1236	L17793
1237	L17827
1238	L17829
1239	L17865
1240	L17882
1241	L17883
1242	L17898
1243	L17912
1244	L17915
1245	L17949
1246	L17954
1247	L17959
1248	L17970
1249	L17972
1250	L18025
1251	L18028
1252	L18037
1253	L18041
1254	L18071
1255	L18086
1256	L18102
1257	L18137
1258	L18138
1259	L18146
1260	L18149
1261	L18150
1262	L18156
1263	L18157
1264	L18173
1265	L18180
1266	L18188
1267	L18194
1268	L18197
1269	L18260
1270	L18264
1271	L18269
1272	L18282
1273	L18284
1274	L18287
1275	L18288
1276	L18310
1277	L18327
1278	L18328
1279	L18341
1280	L18381
1281	L18407
1282	L18413
1283	L18420
1284	L18433
1285	L18441
1286	L18444
1287	L18445
1288	L18483
1289	L18490
1290	L18491
1291	L18499
1292	L18500
1293	L18503
1294	L18506
1295	L18508
1296	L18522
1297	L18525
1298	L18529
1299	L18530
1300	L18531
1301	L18532
1302	L18541
1303	L18542
1304	L18549
1305	L18565
1306	L18570
1307	L18575
1308	L18585
1309	L18587
1310	L18600
1311	L18614
1312	L18694
1313	L18695
1314	L18708
1315	L18720
1316	L18764
1317	L18778
1318	L18800
1319	L18805
1320	L18815
1321	L18820
1322	L18831
1323	L18842
1324	L18859
1325	L18864
1326	L18907
1327	L18929
1328	L18936
1329	L18937
1330	L18940
1331	L18941
1332	L18948
1333	L18969
1334	L18972
1335	L18980
1336	L19017
1337	L19025
1338	L19064
1339	L19071
1340	L19074
1341	L19083
1342	L19107
1343	L19111
1344	L19122
1345	L19124
1346	L19131
1347	L19152
1348	L19161
1349	L19163
1350	L19181
1351	L19195
1352	L19202
1353	L19229
1354	L19261
1355	L19262
1356	L19270
1357	L19274
1358	L19281
1359	L19286
1360	L19289
1361	L19290
1362	L19295
1363	L19305
1364	L19308
1365	L19316
1366	L19323
1367	L19331
1368	L19341
1369	L19347
1370	L19355
1371	L19366
1372	L19395
1373	L19430
1374	L19435
1375	L19438
1376	L19439
1377	L19442
1378	L19460
1379	L19468
1380	L19470
1381	L19519
1382	L19521
1383	L19526
1384	L19539
1385	L19543
1386	L19544
1387	L19545
1388	L19558
1389	L19559
1390	L19583
1391	L19611
1392	L19618
1393	L19623
1394	L19632
1395	L19646
1396	L19661
1397	L19697
1398	L19698
1399	L19706
1400	L19708
1401	L19711
1402	L19719
1403	L19726
1404	L19730
1405	L19731
1406	L19747
1407	L19755
1408	L19760
1409	L19773
1410	L19802
1411	L19807
1412	L19824
1413	L19827
1414	L19856
1415	L19858
1416	L19874
1417	L19937
1418	L19945
1419	L19954
1420	L19961
1421	L19979
1422	L19990
1423	L19999
1424	L20021
1425	L20036
1426	L20056
1427	L20074
1428	L20076
1429	L20122
1430	L20138
1431	L20143
1432	L20144
1433	L20149
1434	L20164
1435	L20170
1436	L20183
1437	L20197
1438	L20205
1439	L20215
1440	L20218
1441	L20232
1442	L20240
1443	L20275
1444	L20283
1445	L20287
1446	L20303
1447	L20313
1448	L20328
1449	L20341
1450	L20355
1451	L20360
1452	L20362
1453	L20395
1454	L20396
1455	L20400
1456	L20412
1457	L20421
1458	L20422
1459	L20428
1460	L20434
1461	L20453
1462	L20460
1463	L20466
1464	L20470
1465	L20478
1466	L20487
1467	L20506
1468	L20512
1469	L20516
1470	L20520
1471	L20527
1472	L20533
1473	L20534
1474	L20541
1475	L20554
1476	L20587
1477	L20589
1478	L20590
1479	L20625
1480	L20645
1481	L20648
1482	L20658
1483	L20665
1484	L20672
1485	L20684
1486	L20695
1487	L20710
1488	L20723
1489	L20730
1490	L20733
1491	L20783
1492	L20790
1493	L20797
1494	L20798
1495	L20829
1496	L20850
1497	L20853
1498	L20856
1499	L20892
1500	L20895
1501	L20932
1502	L20933
1503	L20983
1504	L20986
1505	L20999
1506	L21004
1507	L21039
1508	L21070
1509	L21082
1510	L21104
1511	L21108
1512	L21112
1513	L21134
1514	L21135
1515	L21137
1516	L21153
1517	L21160
1518	L21161
1519	L21184
1520	L21197
1521	L21221
1522	L21257
1523	L21280
1524	L21295
1525	L21300
1526	L21312
1527	L21327
1528	L21339
1529	L21340
