lind	locus
1470	L21698
1471	L21716
1472	L21717
1473	L21741
1474	L21751
1475	L21758
1476	L21768
1477	L21772
1478	L21781
1479	L21790
1480	L21794
1481	L21799
1482	L21832
1483	L21843
1484	L21855
1485	L21890
1486	L21892
1487	L21908
1488	L21926
1489	L21973
1490	L21974
1491	L21978
1492	L21997
1493	L22007
1494	L22072
1495	L22081
1496	L22096
1497	L22114
1498	L22123
1499	L22126
1500	L22128
1501	L22132
1502	L22148
1503	L22150
1504	L22156
1505	L22162
1506	L22167
1507	L22168
1508	L22180
1509	L22185
1510	L22196
1511	L22208
1512	L22225
1513	L22256
1514	L22307
1515	L22346
1516	L22350
1517	L22353
1518	L22360
1519	L22386
1520	L22390
1521	L22413
1522	L22419
1523	L22428
1524	L22435
1525	L22471
1526	L22500
1527	L22504
1528	L22506
1529	L22536
1530	L22549
1531	L22589
1532	L22590
1533	L22592
1534	L22625
1535	L22640
1536	L22650
1537	L22665
1538	L22677
1539	L22684
1540	L22719
1541	L22728
1542	L22745
1543	L22771
1544	L22791
1545	L22794
1546	L22795
1547	L22832
1548	L22834
1549	L22849
1550	L22865
1551	L22883
1552	L22884
1553	L22910
1554	L22914
1555	L22937
1556	L22949
1557	L22959
1558	L22964
1559	L22974
1560	L22983
1561	L22986
1562	L23003
1563	L23021
1564	L23050
1565	L23053
1566	L23063
1567	L23069
1568	L23075
1569	L23086
1570	L23089
1571	L23100
1572	L23104
1573	L23107
1574	L23116
1575	L23165
1576	L23178
1577	L23184
1578	L23191
1579	L23204
1580	L23210
1581	L23211
1582	L23242
1583	L23244
1584	L23275
1585	L23276
1586	L23290
1587	L23315
1588	L23329
1589	L23333
1590	L23334
1591	L23337
1592	L23350
1593	L23375
1594	L23392
1595	L23416
1596	L23435
1597	L23446
1598	L23452
1599	L23486
1600	L23491
1601	L23532
1602	L23562
1603	L23570
1604	L23586
1605	L23594
1606	L23599
1607	L23601
1608	L23604
1609	L23609
1610	L23623
1611	L23640
1612	L23647
1613	L23659
1614	L23675
1615	L23679
1616	L23686
1617	L23697
1618	L23713
1619	L23725
1620	L23735
1621	L23756
1622	L23758
1623	L23774
1624	L23803
1625	L23805
1626	L23811
1627	L23830
1628	L23833
1629	L23859
1630	L23871
1631	L23873
1632	L23898
1633	L23903
1634	L23906
1635	L23910
1636	L23923
1637	L23950
1638	L23951
1639	L23955
1640	L23962
1641	L23964
1642	L24000
1643	L24003
1644	L24022
1645	L24037
1646	L24059
1647	L24062
1648	L24076
1649	L24085
1650	L24102
1651	L24163
1652	L24165
1653	L24166
1654	L24179
1655	L24199
1656	L24201
1657	L24212
1658	L24215
1659	L24222
1660	L24248
1661	L24256
1662	L24257
1663	L24261
1664	L24263
1665	L24270
1666	L24285
1667	L24319
1668	L24326
1669	L24330
1670	L24337
1671	L24342
1672	L24359
1673	L24361
1674	L24388
1675	L24422
1676	L24426
1677	L24431
1678	L24434
1679	L24440
1680	L24467
1681	L24482
1682	L24488
1683	L24496
1684	L24500
1685	L24501
1686	L24518
1687	L24533
1688	L24537
1689	L24543
1690	L24553
1691	L24556
1692	L24568
1693	L24571
1694	L24576
1695	L24638
1696	L24649
1697	L24687
1698	L24715
1699	L24721
1700	L24723
1701	L24726
1702	L24732
1703	L24736
1704	L24746
1705	L24754
1706	L24777
1707	L24782
1708	L24794
1709	L24805
1710	L24827
1711	L24829
1712	L24835
1713	L24836
1714	L24861
1715	L24889
1716	L24900
1717	L24903
1718	L24917
1719	L24932
1720	L24976
1721	L25003
1722	L25013
1723	L25019
1724	L25040
1725	L25041
1726	L25054
1727	L25067
1728	L25087
1729	L25099
1730	L25104
1731	L25105
1732	L25117
1733	L25118
1734	L25130
1735	L25131
1736	L25140
1737	L25152
1738	L25157
1739	L25175
1740	L25177
1741	L25190
1742	L25248
1743	L25279
1744	L25294
1745	L25299
1746	L25302
1747	L25328
1748	L25332
1749	L25334
1750	L25344
1751	L25347
1752	L25349
1753	L25352
1754	L25355
1755	L25358
1756	L25380
1757	L25391
1758	L25402
1759	L25415
1760	L25451
1761	L25457
1762	L25459
1763	L25472
1764	L25482
1765	L25496
1766	L25501
1767	L25512
1768	L25532
1769	L25591
1770	L25599
1771	L25602
1772	L25616
1773	L25621
1774	L25623
1775	L25637
1776	L25642
1777	L25649
1778	L25667
1779	L25680
1780	L25705
1781	L25729
1782	L25739
1783	L25743
1784	L25775
1785	L25784
1786	L25797
1787	L25809
1788	L25820
1789	L25821
1790	L25823
1791	L25830
1792	L25846
1793	L25851
1794	L25877
1795	L25887
1796	L25900
1797	L25908
1798	L25915
1799	L25933
1800	L25942
1801	L25947
1802	L25950
1803	L25953
1804	L25958
1805	L25960
1806	L25969
1807	L25990
1808	L25993
1809	L25998
1810	L26009
1811	L26014
1812	L26019
1813	L26060
1814	L26086
1815	L26091
1816	L26106
1817	L26167
1818	L26168
1819	L26198
1820	L26209
1821	L26216
1822	L26233
1823	L26243
1824	L26247
1825	L26250
1826	L26251
1827	L26257
1828	L26278
1829	L26282
1830	L26315
1831	L26325
1832	L26338
1833	L26353
1834	L26383
1835	L26391
1836	L26398
1837	L26410
1838	L26415
1839	L26419
1840	L26430
1841	L26434
1842	L26455
1843	L26462
1844	L26465
1845	L26479
1846	L26491
1847	L26493
1848	L26499
1849	L26503
1850	L26509
1851	L26511
1852	L26515
1853	L26599
1854	L26600
1855	L26604
1856	L26632
1857	L26643
1858	L26646
1859	L26657
1860	L26662
1861	L26687
1862	L26709
1863	L26719
1864	L26758
1865	L26767
1866	L26776
1867	L26783
1868	L26797
1869	L26805
1870	L26807
1871	L26827
1872	L26840
1873	L26859
1874	L26872
1875	L26876
1876	L26878
1877	L26879
1878	L26901
1879	L26906
1880	L26924
1881	L26950
1882	L26955
1883	L26998
1884	L27003
1885	L27020
1886	L27033
1887	L27058
1888	L27072
1889	L27079
1890	L27080
1891	L27092
1892	L27117
1893	L27156
1894	L27181
1895	L27206
1896	L27214
1897	L27225
1898	L27245
1899	L27287
1900	L27295
1901	L27335
1902	L27340
1903	L27359
1904	L27365
1905	L27388
1906	L27397
1907	L27426
1908	L27440
1909	L27450
1910	L27499
1911	L27544
1912	L27553
1913	L27559
1914	L27562
1915	L27570
1916	L27573
1917	L27581
1918	L27609
1919	L27614
1920	L27625
1921	L27626
1922	L27645
1923	L27656
1924	L27673
1925	L27687
1926	L27698
1927	L27701
1928	L27712
1929	L27722
1930	L27728
1931	L27751
1932	L27775
1933	L27779
1934	L27781
1935	L27786
1936	L27812
1937	L27814
1938	L27836
1939	L27841
1940	L27865
1941	L27868
1942	L27880
1943	L27907
1944	L27913
1945	L27920
1946	L27927
1947	L27928
1948	L27932
1949	L27934
1950	L27954
1951	L27959
1952	L27980
1953	L27996
1954	L28034
1955	L28044
1956	L28046
1957	L28057
1958	L28073
1959	L28075
1960	L28079
1961	L28103
1962	L28111
1963	L28124
1964	L28139
1965	L28159
1966	L28172
1967	L28178
1968	L28186
1969	L28188
1970	L28192
1971	L28200
1972	L28212
1973	L28218
1974	L28220
1975	L28238
1976	L28247
1977	L28253
1978	L28259
1979	L28261
1980	L28285
1981	L28295
1982	L28299
1983	L28308
1984	L28309
1985	L28319
1986	L28326
1987	L28335
1988	L28336
1989	L28369
1990	L28370
1991	L28372
1992	L28389
1993	L28399
1994	L28413
1995	L28422
1996	L28427
1997	L28439
1998	L28442
1999	L28450
2000	L28457
2001	L28468
2002	L28469
2003	L28515
2004	L28520
2005	L28543
2006	L28549
2007	L28555
2008	L28570
2009	L28580
2010	L28602
2011	L28607
2012	L28616
2013	L28627
2014	L28670
2015	L28671
2016	L28674
2017	L28802
2018	L28804
2019	L28811
2020	L28864
2021	L29022
2022	L29052
2023	L29068
2024	L29079
2025	L29119
2026	L29143
2027	L29150
2028	L29171
2029	L29187
2030	L29217
2031	L29222
2032	L29241
2033	L29250
2034	L29358
2035	L29370
