lind	locus
271	L511
272	L512
273	L513
274	L514
275	L515
276	L516
277	L517
278	L518
279	L519
280	L520
281	L521
282	L522
283	L523
284	L524
285	L525
286	L526
287	L527
288	L528
289	L529
290	L530
291	L531
292	L533
293	L534
294	L535
295	L536
296	L537
297	L538
298	L539
299	L540
300	L541
301	L542
302	L545
303	L546
304	L547
305	L548
306	L549
307	L550
308	L551
309	L552
310	L554
311	L556
312	L557
313	L558
314	L560
315	L561
316	L562
317	L563
318	L565
319	L566
320	L567
321	L568
322	L569
323	L570
324	L571
325	L572
326	L573
327	L574
328	L575
329	L576
330	L577
331	L578
332	L579
333	L581
334	L582
335	L584
336	L585
337	L586
338	L588
339	L591
340	L592
341	L593
342	L594
343	L595
344	L596
345	L597
346	L598
347	L599
348	L600
349	L601
350	L602
351	L604
352	L605
353	L606
354	L607
355	L608
356	L609
357	L610
358	L611
359	L612
360	L613
361	L614
362	L615
363	L616
364	L617
365	L618
366	L619
367	L620
368	L621
369	L622
370	L623
371	L624
372	L625
373	L626
374	L627
375	L628
376	L629
377	L630
378	L632
379	L633
380	L634
381	L635
382	L636
383	L637
384	L638
385	L639
386	L640
387	L641
388	L643
389	L644
390	L646
391	L647
392	L648
393	L649
394	L652
395	L653
396	L654
397	L655
398	L656
399	L657
400	L658
401	L659
402	L660
403	L661
404	L662
405	L663
406	L664
407	L665
408	L666
409	L668
410	L669
411	L670
412	L671
413	L672
414	L673
415	L674
416	L675
417	L676
418	L678
419	L679
420	L680
421	L681
422	L682
423	L684
424	L685
425	L687
426	L688
427	L689
428	L690
429	L691
430	L692
431	L693
432	L694
433	L695
434	L697
435	L699
436	L700
437	L701
438	L702
439	L703
440	L704
441	L706
442	L707
443	L708
444	L709
445	L710
446	L711
447	L713
448	L714
449	L715
450	L716
451	L717
452	L719
453	L720
454	L721
455	L722
456	L723
457	L724
458	L725
459	L726
460	L727
461	L728
462	L729
463	L730
464	L731
465	L732
466	L734
467	L735
468	L736
469	L737
470	L738
471	L739
472	L740
473	L741
474	L742
475	L743
476	L744
477	L745
478	L746
479	L747
480	L748
481	L749
482	L750
483	L751
484	L752
485	L753
486	L754
487	L755
488	L756
489	L757
490	L758
491	L759
492	L760
493	L761
494	L762
495	L763
496	L764
497	L765
498	L766
499	L767
500	L768
501	L769
502	L770
503	L771
504	L772
505	L773
506	L774
507	L775
508	L776
509	L777
510	L778
511	L779
512	L780
513	L781
514	L782
515	L783
516	L784
517	L785
518	L786
519	L787
520	L789
521	L790
522	L791
523	L792
524	L793
525	L794
526	L795
527	L796
528	L797
529	L798
530	L799
531	L800
532	L801
533	L802
534	L803
535	L804
536	L805
537	L806
538	L807
539	L808
540	L809
541	L810
542	L812
543	L813
544	L814
545	L815
546	L816
547	L817
548	L818
549	L819
550	L820
551	L821
552	L822
553	L823
554	L824
555	L825
556	L826
557	L827
558	L828
559	L829
560	L830
561	L831
562	L832
563	L833
564	L835
565	L836
566	L837
567	L838
568	L839
569	L840
570	L841
571	L842
572	L843
573	L844
574	L845
575	L846
576	L848
577	L850
578	L851
579	L853
580	L854
581	L855
582	L856
583	L857
584	L858
585	L859
586	L860
587	L861
588	L862
589	L863
590	L864
591	L865
592	L866
593	L868
594	L869
595	L870
596	L871
597	L872
598	L873
599	L874
600	L875
601	L876
602	L877
603	L879
604	L880
605	L881
606	L882
607	L883
608	L884
609	L885
610	L886
611	L888
612	L889
613	L890
614	L891
615	L892
616	L893
617	L895
618	L896
619	L897
620	L898
621	L899
622	L900
623	L901
624	L902
625	L903
626	L904
627	L905
628	L906
629	L907
630	L908
631	L909
632	L910
633	L911
634	L912
635	L913
636	L914
637	L915
638	L916
639	L917
640	L919
641	L920
642	L921
643	L922
644	L923
645	L924
646	L925
647	L926
648	L927
649	L929
650	L931
651	L932
652	L933
653	L934
654	L935
655	L936
656	L937
657	L938
658	L939
659	L940
660	L941
661	L943
662	L944
663	L945
664	L946
665	L947
666	L949
667	L950
668	L951
669	L952
670	L955
671	L956
672	L957
673	L958
674	L959
675	L960
676	L961
677	L962
678	L963
679	L964
680	L965
681	L966
682	L967
683	L968
684	L969
685	L970
686	L971
687	L972
688	L973
689	L974
690	L975
691	L976
692	L977
693	L978
694	L979
695	L980
696	L981
697	L982
