lind	locus
870	L2841
871	L2845
872	L2849
873	L2850
874	L2851
875	L2860
876	L2862
877	L2873
878	L2874
879	L2875
880	L2880
881	L2881
882	L2882
883	L2884
884	L2886
885	L2888
886	L2893
887	L2899
888	L2900
889	L2903
890	L2904
891	L2908
892	L2912
893	L2916
894	L2919
895	L2920
896	L2923
897	L2925
898	L2928
899	L2930
900	L2931
901	L2932
902	L2933
903	L2937
904	L2938
905	L2940
906	L2944
907	L2945
908	L2946
909	L2948
910	L2953
911	L2961
912	L2971
913	L2972
914	L2973
915	L2974
916	L2977
917	L2984
918	L2995
919	L2997
920	L3003
921	L3009
922	L3017
923	L3018
924	L3019
925	L3021
926	L3025
927	L3031
928	L3033
929	L3036
930	L3037
931	L3040
932	L3041
933	L3043
934	L3045
935	L3047
936	L3048
937	L3050
938	L3053
939	L3055
940	L3057
941	L3058
942	L3060
943	L3064
944	L3075
945	L3077
946	L3078
947	L3080
948	L3082
949	L3090
950	L3096
951	L3102
952	L3104
953	L3105
954	L3110
955	L3113
956	L3115
957	L3118
958	L3119
959	L3120
960	L3124
961	L3128
962	L3139
963	L3140
964	L3145
965	L3146
966	L3150
967	L3151
968	L3154
969	L3155
970	L3156
971	L3158
972	L3164
973	L3171
974	L3173
975	L3175
976	L3179
977	L3180
978	L3181
979	L3182
980	L3186
981	L3187
982	L3188
983	L3192
984	L3193
985	L3197
986	L3202
987	L3206
988	L3212
989	L3217
990	L3219
991	L3221
992	L3223
993	L3224
994	L3225
995	L3227
996	L3229
997	L3231
998	L3233
999	L3241
1000	L3243
1001	L3244
1002	L3245
1003	L3246
1004	L3251
1005	L3252
1006	L3253
1007	L3257
1008	L3258
1009	L3263
1010	L3268
1011	L3271
1012	L3277
1013	L3282
1014	L3283
1015	L3284
1016	L3285
1017	L3293
1018	L3296
1019	L3297
1020	L3300
1021	L3303
1022	L3304
1023	L3313
1024	L3317
1025	L3318
1026	L3320
1027	L3321
1028	L3323
1029	L3328
1030	L3329
1031	L3330
1032	L3331
1033	L3336
1034	L3337
1035	L3339
1036	L3340
1037	L3343
1038	L3346
1039	L3347
1040	L3352
1041	L3361
1042	L3364
1043	L3373
1044	L3374
1045	L3376
1046	L3378
1047	L3379
1048	L3380
1049	L3388
1050	L3393
1051	L3403
1052	L3405
1053	L3409
1054	L3416
1055	L3417
1056	L3422
1057	L3433
1058	L3435
1059	L3436
1060	L3440
1061	L3446
1062	L3448
1063	L3453
1064	L3454
1065	L3455
1066	L3457
1067	L3459
1068	L3460
1069	L3463
1070	L3466
1071	L3471
1072	L3475
1073	L3476
1074	L3479
1075	L3485
1076	L3486
1077	L3488
1078	L3500
1079	L3501
1080	L3505
1081	L3512
1082	L3513
1083	L3516
1084	L3518
1085	L3530
1086	L3539
1087	L3541
1088	L3546
1089	L3548
1090	L3549
1091	L3550
1092	L3554
1093	L3563
1094	L3564
1095	L3565
1096	L3576
1097	L3581
1098	L3583
1099	L3585
1100	L3589
1101	L3596
1102	L3598
1103	L3599
1104	L3605
1105	L3606
1106	L3607
1107	L3609
1108	L3610
1109	L3617
1110	L3621
1111	L3623
1112	L3625
1113	L3626
1114	L3628
1115	L3629
1116	L3634
1117	L3639
1118	L3640
1119	L3647
1120	L3650
1121	L3652
1122	L3653
1123	L3654
1124	L3655
1125	L3663
1126	L3664
1127	L3670
1128	L3672
1129	L3673
1130	L3675
1131	L3678
1132	L3679
1133	L3680
1134	L3681
1135	L3683
1136	L3687
1137	L3691
1138	L3696
1139	L3698
1140	L3699
1141	L3704
1142	L3718
1143	L3720
1144	L3726
1145	L3727
1146	L3728
1147	L3735
1148	L3736
1149	L3742
1150	L3744
1151	L3749
1152	L3753
1153	L3760
1154	L3762
1155	L3765
1156	L3767
1157	L3770
1158	L3774
1159	L3782
1160	L3786
1161	L3796
1162	L3798
1163	L3799
1164	L3803
1165	L3807
1166	L3808
1167	L3809
1168	L3810
1169	L3811
1170	L3812
1171	L3815
1172	L3825
1173	L3826
1174	L3827
1175	L3828
1176	L3831
1177	L3834
1178	L3850
1179	L3851
1180	L3852
1181	L3854
1182	L3857
1183	L3861
1184	L3863
1185	L3864
1186	L3865
1187	L3869
1188	L3872
1189	L3874
1190	L3877
1191	L3879
1192	L3880
1193	L3882
1194	L3886
1195	L3888
1196	L3892
1197	L3894
1198	L3896
1199	L3901
1200	L3905
1201	L3907
1202	L3910
1203	L3911
1204	L3916
1205	L3919
1206	L3920
1207	L3921
1208	L3922
1209	L3923
1210	L3924
1211	L3929
1212	L3936
1213	L3937
1214	L3938
1215	L3941
1216	L3943
1217	L3944
1218	L3945
1219	L3947
1220	L3949
1221	L3954
1222	L3955
1223	L3957
1224	L3958
1225	L3960
1226	L3961
1227	L3962
1228	L3963
1229	L3970
1230	L3973
1231	L3974
1232	L3978
1233	L3981
1234	L3987
1235	L3988
1236	L3990
1237	L3993
1238	L3994
1239	L3995
