pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	block1	block2	same_block
X02b	X11b2	0.608	0.44	0.6065	0.7268	0.1374	-23.938056	132.873889	-23.916858	132.735055	14328.1805387209	0.0211979999999983	X02	X11	0
X02b	X11b3	0.7056	0.5273	0.6846	0.7935	0.141	-23.938056	132.873889	-23.916858	132.735055	14328.1805387209	0.0211979999999983	X02	X11	0
X02u	X03b	0.5665	0.5038	0.6995	0.8002	0.2497	-23.937778	132.874167	-23.940556	132.978056	10580.32782021	-0.00277799999999928	X02	X03	0
X02u	X03u	0.9385	0.8783	0.9608	0.9791	0.4614	-23.937778	132.874167	-23.940278	132.977778	10551.1979177079	-0.00249999999999773	X02	X03	0
X02u	X05b	0.9235	0.8565	0.9508	0.9735	0.439	-23.937778	132.874167	-23.965	133.153333	28575.7948572671	-0.0272219999999983	X02	X05	0
X02u	X05u	0.9072	0.8394	0.9434	0.9693	0.4292	-23.937778	132.874167	-23.966389	133.153333	28592.2848398262	-0.0286109999999979	X02	X05	0
X02u	X06b	0.9031	0.8287	0.9372	0.9656	0.4162	-23.937778	132.874167	-23.9575	133.245833	37895.9560944769	-0.019721999999998	X02	X06	0
X02u	X06u	-0.018	-0.0188	-0.0205	-0.0401	NA	-23.937778	132.874167	-23.956944	133.245556	37864.3849719611	-0.0191659999999985	X02	X06	0
X02u	X07b	0.8687	0.7672	0.8919	0.9388	0.2776	-23.937778	132.874167	-23.907778	133.330833	46612.8178009885	0.0300000000000011	X02	X07	0
X02u	X07u	-0.0131	-0.0126	-0.0141	-0.027	0	-23.937778	132.874167	-23.907778	133.330833	46612.8178009885	0.0300000000000011	X02	X07	0
X02u	X08b	0.8945	0.8051	0.915	0.9529	0.3098	-23.937778	132.874167	-23.846111	133.454167	59931.3765463701	0.0916670000000011	X02	X08	0
X02u	X08u	-0.1816	0.0104	0.014	0.0241	0	-23.937778	132.874167	-23.845833	133.453611	59880.865365504	0.0919450000000026	X02	X08	0
X02u	X10b	0.0391	-0.012	-0.013	-0.0253	0	-23.937778	132.874167	-23.768056	133.626111	78871.0405095909	0.169722	X02	X10	0
X02u	X10u	-0.1901	0.0202	0.028	0.0472	1e-04	-23.937778	132.874167	-23.768333	133.626389	78891.1609651589	0.169445000000003	X02	X10	0
X02u	X11b1	0.7325	0.6441	0.8177	0.8891	0.2746	-23.937778	132.874167	-23.916858	132.735055	14351.1131098355	0.0209200000000003	X02	X11	0
X02u	X11b2	0.4692	0.4151	0.5834	0.7056	0.1255	-23.937778	132.874167	-23.916858	132.735055	14351.1131098355	0.0209200000000003	X02	X11	0
X02u	X11b3	0.5967	0.5064	0.6669	0.7788	NA	-23.937778	132.874167	-23.916858	132.735055	14351.1131098355	0.0209200000000003	X02	X11	0
X03b	X03u	0.0481	0.0687	0.0959	0.154	0.0022	-23.940556	132.978056	-23.940278	132.977778	41.8204235182736	0.000278000000001555	X03	X03	1
X03b	X05b	0.0325	0.0643	0.0905	0.1455	0.0015	-23.940556	132.978056	-23.965	133.153333	18045.4939514618	-0.024443999999999	X03	X05	0
X03b	X05u	-0.0584	0.0451	0.0647	0.1051	6e-04	-23.940556	132.978056	-23.966389	133.153333	18069.1206965073	-0.0258329999999987	X03	X05	0
X03b	X06b	-0.0053	0.0455	0.0651	0.1059	7e-04	-23.940556	132.978056	-23.9575	133.245833	27322.0298137638	-0.0169439999999987	X03	X06	0
