lind	locus
1067	L4319
1068	L4329
1069	L4339
1070	L4344
1071	L4346
1072	L4347
1073	L4349
1074	L4355
1075	L4358
1076	L4359
1077	L4360
1078	L4372
1079	L4373
1080	L4375
1081	L4377
1082	L4380
1083	L4383
1084	L4384
1085	L4386
1086	L4394
1087	L4396
1088	L4398
1089	L4411
1090	L4412
1091	L4422
1092	L4423
1093	L4436
1094	L4440
1095	L4443
1096	L4456
1097	L4463
1098	L4467
1099	L4468
1100	L4470
1101	L4473
1102	L4475
1103	L4477
1104	L4480
1105	L4482
1106	L4484
1107	L4495
1108	L4508
1109	L4509
1110	L4517
1111	L4519
1112	L4521
1113	L4523
1114	L4524
1115	L4527
1116	L4536
1117	L4542
1118	L4547
1119	L4550
1120	L4553
1121	L4582
1122	L4584
1123	L4586
1124	L4592
1125	L4594
1126	L4595
1127	L4599
1128	L4602
1129	L4603
1130	L4604
1131	L4606
1132	L4609
1133	L4610
1134	L4615
1135	L4618
1136	L4621
1137	L4622
1138	L4623
1139	L4634
1140	L4636
1141	L4638
1142	L4639
1143	L4641
1144	L4644
1145	L4653
1146	L4654
1147	L4655
1148	L4662
1149	L4668
1150	L4677
1151	L4683
1152	L4684
1153	L4687
1154	L4698
1155	L4705
1156	L4708
1157	L4712
1158	L4716
1159	L4726
1160	L4736
1161	L4738
1162	L4742
1163	L4745
1164	L4748
1165	L4753
1166	L4754
1167	L4759
1168	L4765
1169	L4771
1170	L4772
1171	L4775
1172	L4779
1173	L4780
1174	L4782
1175	L4785
1176	L4788
1177	L4790
1178	L4793
1179	L4796
1180	L4799
1181	L4806
1182	L4810
1183	L4811
1184	L4812
1185	L4816
1186	L4818
1187	L4821
1188	L4826
1189	L4830
1190	L4843
1191	L4853
1192	L4856
1193	L4857
1194	L4859
1195	L4865
1196	L4870
1197	L4872
1198	L4879
1199	L4883
1200	L4884
1201	L4885
1202	L4891
1203	L4900
1204	L4909
1205	L4915
1206	L4916
1207	L4923
1208	L4935
1209	L4940
1210	L4945
1211	L4946
1212	L4947
1213	L4950
1214	L4952
1215	L4953
1216	L4960
1217	L4961
1218	L4967
1219	L4970
1220	L4972
1221	L4973
1222	L4975
1223	L4978
1224	L4980
1225	L4983
1226	L4984
1227	L4985
1228	L4992
1229	L4997
1230	L4998
1231	L5003
1232	L5006
1233	L5008
1234	L5016
1235	L5021
1236	L5024
1237	L5033
1238	L5035
1239	L5037
1240	L5052
1241	L5059
1242	L5069
1243	L5072
1244	L5075
1245	L5079
1246	L5084
1247	L5086
1248	L5089
1249	L5090
1250	L5093
1251	L5094
1252	L5096
1253	L5097
1254	L5104
1255	L5112
1256	L5113
1257	L5115
1258	L5118
1259	L5125
1260	L5130
1261	L5132
1262	L5137
1263	L5138
1264	L5139
1265	L5143
1266	L5155
1267	L5157
1268	L5160
1269	L5168
1270	L5169
1271	L5170
1272	L5172
1273	L5174
1274	L5177
1275	L5180
1276	L5184
1277	L5185
1278	L5188
1279	L5194
1280	L5195
1281	L5199
1282	L5202
1283	L5203
1284	L5211
1285	L5217
1286	L5218
1287	L5219
1288	L5220
1289	L5222
1290	L5225
1291	L5226
1292	L5227
1293	L5228
1294	L5231
1295	L5232
1296	L5240
1297	L5246
1298	L5249
1299	L5253
1300	L5255
1301	L5257
1302	L5259
1303	L5263
1304	L5264
1305	L5266
1306	L5267
1307	L5275
1308	L5276
1309	L5280
1310	L5282
1311	L5286
1312	L5287
1313	L5290
1314	L5302
1315	L5306
1316	L5307
1317	L5310
1318	L5312
1319	L5320
