lind	locus
664	L7776
665	L7780
666	L7781
667	L7789
668	L7796
669	L7808
670	L7811
671	L7812
672	L7813
673	L7818
674	L7822
675	L7823
676	L7831
677	L7833
678	L7836
679	L7839
680	L7840
681	L7849
682	L7860
683	L7892
684	L7917
685	L7931
686	L7934
687	L7942
688	L7947
689	L7966
690	L7969
691	L7971
692	L7988
693	L8000
694	L8012
695	L8027
696	L8029
697	L8046
698	L8048
699	L8055
700	L8063
701	L8084
702	L8093
703	L8097
704	L8113
705	L8136
706	L8139
707	L8144
708	L8150
709	L8151
710	L8152
711	L8160
712	L8172
713	L8188
714	L8196
715	L8229
716	L8248
717	L8260
718	L8264
719	L8272
720	L8318
721	L8328
722	L8335
723	L8361
724	L8373
725	L8377
726	L8384
727	L8385
728	L8395
729	L8397
730	L8408
731	L8421
732	L8431
733	L8432
734	L8436
735	L8438
736	L8446
737	L8450
738	L8466
739	L8469
740	L8474
741	L8489
742	L8491
743	L8521
744	L8523
745	L8527
746	L8541
747	L8550
748	L8551
749	L8558
750	L8560
751	L8578
752	L8617
753	L8628
754	L8636
755	L8640
756	L8643
757	L8665
758	L8668
759	L8670
760	L8676
761	L8685
762	L8687
763	L8695
764	L8696
765	L8709
766	L8710
767	L8711
768	L8722
769	L8726
770	L8755
771	L8770
772	L8784
773	L8795
774	L8797
775	L8800
776	L8818
777	L8825
778	L8838
779	L8842
780	L8847
781	L8848
782	L8858
783	L8862
784	L8868
785	L8884
786	L8895
787	L8896
788	L8908
789	L8909
790	L8930
791	L8934
792	L8935
793	L8944
794	L8960
795	L8977
796	L8991
797	L8992
798	L9002
799	L9006
800	L9007
801	L9014
802	L9017
803	L9023
804	L9025
805	L9029
806	L9045
807	L9078
808	L9086
809	L9094
810	L9098
811	L9104
812	L9105
813	L9118
814	L9126
815	L9147
816	L9148
817	L9186
818	L9225
819	L9226
820	L9233
821	L9239
822	L9251
823	L9276
824	L9283
825	L9306
826	L9312
827	L9317
828	L9321
829	L9339
830	L9341
831	L9355
832	L9359
833	L9385
834	L9409
835	L9414
836	L9421
837	L9425
838	L9426
839	L9446
840	L9458
841	L9470
842	L9474
843	L9482
844	L9485
845	L9488
846	L9498
847	L9499
848	L9517
849	L9519
850	L9558
851	L9573
852	L9601
853	L9652
854	L9655
855	L9666
856	L9682
857	L9733
858	L9739
859	L9750
860	L9762
861	L9767
862	L9773
863	L9784
864	L9795
865	L9798
866	L9800
867	L9801
868	L9808
869	L9843
870	L9881
871	L9919
872	L9921
873	L9926
874	L9935
875	L9949
876	L9958
877	L9976
878	L9984
879	L10000
880	L10024
881	L10028
882	L10053
883	L10054
884	L10055
885	L10056
886	L10086
887	L10115
888	L10125
889	L10148
890	L10158
891	L10174
892	L10176
893	L10179
894	L10193
895	L10200
896	L10203
897	L10206
898	L10208
899	L10215
900	L10225
901	L10232
902	L10238
903	L10252
904	L10272
905	L10277
906	L10287
907	L10298
908	L10311
909	L10334
910	L10335
911	L10359
912	L10372
913	L10513
914	L10538
915	L10541
916	L10686
917	L10691
918	L10742
919	L10764
920	L10805
921	L10977
922	L11002
923	L11054
924	L11055
925	L11103
926	L11150
927	L11162
928	L11208
929	L11221
930	L11250
931	L11304
932	L11354
933	L11366
934	L11399
935	L11404
936	L11424
937	L11435
938	L11447
939	L11484
940	L11493
941	L11550
942	L11553
943	L11586
944	L11597
945	L11613
946	L11619
947	L11620
948	L11623
949	L11628
950	L11642
951	L11643
952	L11648
953	L11649
954	L11655
955	L11659
956	L11674
957	L11685
958	L11694
959	L11699
960	L11703
961	L11723
962	L11736
963	L11771
964	L11779
965	L11782
966	L11808
967	L11856
968	L11908
969	L11922
970	L11936
971	L11939
972	L11941
973	L11945
974	L11954
975	L11964
976	L11977
977	L11992
978	L11993
979	L12007
980	L12011
981	L12014
982	L12019
983	L12033
984	L12042
985	L12072
986	L12111
987	L12112
988	L12113
989	L12120
990	L12147
991	L12152
992	L12158
993	L12179
994	L12190
995	L12191
996	L12193
997	L12224
998	L12228
999	L12246
1000	L12249
1001	L12262
1002	L12326
1003	L12330
1004	L12344
1005	L12349
1006	L12355
1007	L12356
1008	L12357
1009	L12359
1010	L12371
1011	L12380
1012	L12397
1013	L12410
1014	L12429
1015	L12435
1016	L12477
1017	L12488
1018	L12493
1019	L12496
1020	L12497
1021	L12516
1022	L12520
1023	L12542
1024	L12552
1025	L12574
1026	L12576
1027	L12577
1028	L12591
1029	L12592
1030	L12606
1031	L12614
1032	L12622
1033	L12624
1034	L12645
1035	L12656
1036	L12661
1037	L12669
1038	L12728
1039	L12753
1040	L12787
1041	L12788
1042	L12820
1043	L12843
1044	L12875
1045	L12883
1046	L12885
1047	L12903
1048	L12908
1049	L12925
1050	L12948
1051	L12951
1052	L12952
1053	L12966
1054	L12993
1055	L13026
1056	L13032
1057	L13037
1058	L13038
1059	L13064
1060	L13068
1061	L13084
1062	L13123
1063	L13135
1064	L13172
1065	L13218
1066	L13227
1067	L13237
1068	L13244
1069	L13252
1070	L13265
1071	L13275
1072	L13277
